posted,neighborhood,post title,number bedrooms,sqft,price
2020-12-11 09:34:00,Marina,"Recently updated, spacious 1 bedroom unit available now in pri",1,NA,"$2,350"
2020-12-11 09:33:00,Soma,1 BEDROOM LUXURY CONDO in SOMA - Right Across from the Palace Hotel,1,814,"$2,990"
2020-12-11 09:33:00,Mission District,4br/2ba ►REMODELED VICTORIAN FLAT! HUGE YARD!,4,NA,"$5,199"
2020-12-11 09:33:00,Laurel Hts,Remodeled 1-BR,1,850,"$2,650"
2020-12-11 09:33:00,Sunset,Studio apartment available across from The Golden Gate park,NA,NA,"$1,550"
2020-12-11 09:32:00,Pacific Heights,"Contemporary 2BR, In-unit W/D, parking,  location (1740 Broadway #206)",2,NA,"$4,895"
2020-12-11 09:32:00,Potrero Hill,COZY AND CHARMING STUDIO WITH A PARK VIEW WAITING FOR YOU!,NA,NA,"$1,599"
2020-12-11 09:31:00,Russian Hill,PRICE REDUCTION*Sunny Quiet 1BR in Great Loccation! (1540 Hyde #1),1,NA,"$1,795"
2020-12-11 09:31:00,Downtown,"Classic & Bright Studio,High Ceilings,Great Location!(1219 Taylor #22)",NA,NA,"$1,800"
2020-12-11 09:30:00,Nob Hill,Grace Cathedral-1 block away! solarium (1219 Taylor #12),2,NA,"$3,395"
2020-12-11 09:30:00,Soma,Remodeled Soma One Bed one Bath on Shipley Street ~ J.Wavro,1,NA,"$2,000"
2020-12-11 09:30:00,Castro,WELL LOCATED 2 BDRM 2 BTH APARTMENT!!!,2,NA,"$3,950"
2020-12-11 09:29:00,Castro,CHARMING & WELL LOCATED APARTMENT!!!,1,NA,"$2,950"
2020-12-11 09:29:00,Mission District,"""UPDATED & CENTRALLY LOCATED APARTMENT IN POPULAR MISSION DISTRICT!!""",1,NA,"$2,200"
2020-12-11 09:29:00,Tenderloin,PRISTINE ALCOVE STUDIO CONDO!!!,NA,531,"$1,750"
2020-12-11 09:29:00,Bernal Heights,"Garden Studio, hardwood, private🚗 garage and 🌸🌺yard",NA,500,"$2,195"
2020-12-11 09:29:00,Downtown,"Nice View, Top flr studio, hardwd, eat in gas kit, heat inc",NA,460,"$1,950"
2020-12-11 09:29:00,Inner Richmond,Fantastic Inner Richmond District home,3,1500,"$3,400"
2020-12-11 09:28:00,Ingleside,"Studio apt, hardwood, electric kit, parking inc, MOVE IN SPECIAL",NA,350,"$1,795"
2020-12-11 09:28:00,Portola District,"Large Studio apartment, hardwood floors, gas eat in kitchen",NA,400,"$1,595"
2020-12-11 09:28:00,Portola District,"HUGE top floor view, 1 bedroom apt, hardwood, gas eat in kit, bright",1,900,"$2,495"
2020-12-11 09:28:00,North Beach,"Location, location,1 bed, hardwood floors, stainless appliances",1,650,"$2,595"
2020-12-11 09:27:00,North Beach,"Great location,  studio apt, hardwd, electric kit, storage",NA,300,"$2,195"
2020-12-11 09:27:00,North Beach,Large 1Bd/1Ba Loft available Now,1,800,"$2,795"
2020-12-11 09:27:00,Western Addition,Top floor flat in charming Victorian,2,1050,"$4,100"
2020-12-11 09:27:00,Russian Hill,Remodeled 2bd/1ba Available January,2,900,"$3,950"
2020-12-11 09:27:00,Downtown,"Lg studio, hardwood, gas kit, heat inc, MOVE IN SPECIAL",NA,460,"$1,595"
2020-12-11 09:27:00,Cole Valley,"HUGE 2 bed flat, gas eat in kit, yard, hardwood, MOVE IN SPECIAL",2,1200,"$3,600"
2020-12-11 09:27:00,North Beach,"GREAT Location, 2 bedroom, 1 bath flat,  Storage and fabulous deck",2,NA,"$3,100"
2020-12-11 09:26:00,Ingleside,"Top floor flat, hardwood, bright unit, garage available",3,1000,"$3,995"
2020-12-11 09:26:00,Excelsior,"Large 1 bed, hardwood, gas kitchen, can use as a 2 bed, parking avail",1,NA,"$2,495"
2020-12-11 09:26:00,Sunset,"Nice views, shared patio, 🚗 garage parking, hardwood floors",2,750,"$2,950"
2020-12-11 09:26:00,Visitacion Valley,"Views, large flat, 🚗 garage incl, LITTLE HOLLYWOOD🐶🐱",2,NA,"$2,995"
2020-12-11 09:25:00,Bernal Heights,"Lrg. Top flr, gas kitchen, 🚗 private garage, w/d in unit 👶",2,1000,"$3,095"
2020-12-11 09:25:00,Downtown,"Large one bedroom +, hardwood floors, gas kit, heat included",1,NA,"$2,350"
2020-12-11 09:24:00,Cole Valley,"Garden apt, hardwood, electric kitchen,  yard MOVE IN SPECIAL",1,650,"$2,500"
2020-12-11 09:24:00,Sunset,"Top Floor, near the BEACH 🌊, hardwd, granite counters, garage 🚗parking",1,700,"$2,600"
2020-12-11 09:23:00,Potrero Hill,LOVELY TRI-LEVEL LOFT * 3 BR / 2.5 BA *Fp *Balcony *Garage Parking,3,NA,"$3,695"
2020-12-11 09:23:00,Alamo Square,COMPLETELY REMODELED ALAMO SQUARE TWO BEDROOM APARMENT,2,NA,"$3,025"
2020-12-11 09:22:00,Bernal Heights,6br/3ba ►REMODELED FLAT ON TWO-LEVELS!,6,NA,"$7,199"
2020-12-11 09:22:00,Mission District,Beautiful Huge TOP Floor Floor ONE  MONTH  FREE Rent,5,1750,"$4,650"
